StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2 _1,Gym2 _2,Gym2 _3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing,R
2022-09-19 03:40:32,2022-09-19 03:46:23,IP Address,100,350,True,2022-09-19 03:46:24,R_1H5Co8pe0AgjsZ0,anonymous,PT,1,I agree to participate in the research,B,5,5,5,5,2.5,"Strongly agree
1","Strongly disagree
5",4,Yes,5,5,5,5,No difference,No,Consider it a gift and not pay for the coupon.,B,5,5,10,10,Yes,"Strongly agree

1
","Strongly disagree

5
",4,No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",1.5,More than 102 €,Less than today,I do not know,I do not know,Very serious,Female,62,Less than 5500 €,4,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 03:36:26,2022-09-19 03:48:15,IP Address,100,709,True,2022-09-19 03:48:16,R_3CPf9xHe5rUPX1A,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",0,5,0,5,3,"Strongly disagree
5",3,"Strongly disagree
5",No,0,5,0,5,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,0,10,0,10,No,"Strongly disagree

5
",3,"Strongly disagree

5
",A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",1.5,More than 102 €,Less than today,False,There is no relationship,Absolutely serious,Female,27,11 000 € – 13 700 €,20,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:19:52,2022-09-19 04:28:22,IP Address,100,509,True,2022-09-19 04:28:22,R_1meH1dghu2S4K3V,anonymous,PT,1,I agree to participate in the research,B,5,10,5,10,3,4,2,4,No,5,10,5,10,A,No,Pay your friend 10 € for the coupon.,A,5,10,5,10,No,4,2,4,B,No,Pay your friend 10 € for the coupon.,3,More than 102 €,I do not know,I do not know,They collapse,Moderately serious,Male,29,Less than 5500 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:21:42,2022-09-19 04:29:38,IP Address,100,476,True,2022-09-19 04:29:39,R_1KqKm3Tr2xYF1sA,anonymous,PT,1,I agree to participate in the research,A,0,5,5,10,10,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,0,5,5,10,A,Yes,Pay your friend 10 € for the coupon.,A,10,10,10,10,Yes,"Strongly agree

1
","Strongly disagree

5
",2,B,Yes,Pay your friend 10 € for the coupon.,4,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,24,Less than 5500 €,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:30:35,2022-09-19 04:39:06,IP Address,100,511,True,2022-09-19 04:39:06,R_1mOZSzN7mMwSebe,anonymous,PT,1,I agree to participate in the research,A,0,5,0,10,5,4,2,"Strongly disagree
5",No,0,5,0,10,A,Yes,Consider it a gift and not pay for the coupon.,B,0,10,0,10,Yes,4,2,4,B,Yes,Pay your friend 10 € for the coupon.,1,More than 102 €,Less than today,False,They collapse,Moderately serious,Male,28,More than 27 000 €,20,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:27:42,2022-09-19 04:42:45,IP Address,100,903,True,2022-09-19 04:42:46,R_bj5k7Yvt1hKsmPL,anonymous,PT,1,I agree to participate in the research,A,4,7,5,10,3,2,4,3,Yes,3,8,5,10,A,Yes,Pay your friend 10 € for the coupon.,B,5,5,5,10,Yes,4,2,2,B,No,Pay your friend 10 € for the coupon.,2,Less than 102 €,I do not know,False,They remain unchanged,Very serious,Male,18,16 500 € – 22 000 €,13,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:38:00,2022-09-19 04:46:28,IP Address,100,507,True,2022-09-19 04:46:28,R_1db1V9Tjc7VrHKV,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,5,3,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,10,No difference,No,Consider it a gift and not pay for the coupon.,No difference,0,5,0,10,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,No,Consider it a gift and not pay for the coupon.,2,More than 102 €,Less than today,False,They collapse,Very serious,Male,26,16 500 € – 22 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:38:22,2022-09-19 04:47:24,IP Address,100,541,True,2022-09-19 04:47:24,R_3qksNmz45KxVlXQ,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,5,5,5,10,3,3,3,3,No,5,5,5,10,A,Yes,Pay your friend 10 € for the coupon.,No difference,5,5,5,10,No,3,2,3,A,No,Pay your friend 10 € for the coupon.,2,Less than 102 €,Less than today,False,They collapse,Very serious,Male,28,22 000 € – 27 000 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:41:35,2022-09-19 04:49:05,IP Address,100,450,True,2022-09-19 04:49:06,R_1OTbwcqxxIeAlEP,anonymous,PT,1,I agree to participate in the research,"No difference ",5,10,5,10,1,2,3,4,No,5,10,5,10,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",No difference,5,10,5,10,No,2,3,4,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",1,More than 102 €,Less than today,False,They collapse,Very serious,Male,47,More than 27 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:42:57,2022-09-19 04:53:58,IP Address,100,661,True,2022-09-19 04:53:59,R_2t4r8M23hG0u1au,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,0,5,0,10,5,"Strongly agree
1",4,3,Yes,5,5,5,10,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,10,10,Yes,3,2,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",5,Less than 102 €,Less than today,False,I do not know,Moderately serious,Male,25,8200 € – 11 000 €,13,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:43:56,2022-09-19 04:56:39,IP Address,100,762,True,2022-09-19 04:56:39,R_2YhyJdTdtNq9g47,anonymous,PT,1,I agree to participate in the research,A,5,5,5,10,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,5,10,10,10,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,False,There is no relationship,Absolutely serious,Male,43,More than 27 000 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:48:10,2022-09-19 04:57:01,IP Address,100,530,True,2022-09-19 04:57:01,R_3sBKW27X5WZ5Vc1,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",5,8,10,15,5,"Strongly agree
1","Strongly disagree
5",2,No,5,8,5,8,No difference,Yes,Pay your friend 10 € for the coupon.,B,5,10,10,15,Yes,"Strongly agree

1
","Strongly disagree

5
",2,B,No,Pay your friend 10 € for the coupon.,2,I do not know,I do not know,I do not know,I do not know,Absolutely serious,Female,32,5500 € – 8200 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:50:05,2022-09-19 04:59:53,IP Address,100,588,True,2022-09-19 04:59:54,R_1myobohXyeyhzZu,anonymous,PT,,I agree to participate in the research,A,0,5,5,10,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,10,5,10,A,Yes,Consider it a gift and not pay for the coupon.,A,10,10,10,15,No,4,2,2,A,Yes,Consider it a gift and not pay for the coupon.,2,More than 102 €,Less than today,False,I do not know,Very serious,Female,25,13 700 € – 16 500 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:44:36,2022-09-19 05:00:30,IP Address,100,954,True,2022-09-19 05:00:31,R_3M6CX8hEzJ334Zx,anonymous,PT,1,I agree to participate in the research,A,0,4.5,0,9,3,2,4,2,No,0,4.5,0,9,A,Yes,Pay your friend 10 € for the coupon.,A,0,4.5,0,9,No,2,4,2,B,Yes,Pay your friend 10 € for the coupon.,1.5,More than 102 €,Less than today,False,I do not know,Very serious,Prefer not to say,30,Less than 5500 €,14,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:51:10,2022-09-19 05:01:39,IP Address,100,629,True,2022-09-19 05:01:39,R_2aQZV4OK7FzqBzp,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,5,5,10,10,5,"Strongly agree
1","Strongly disagree
5",3,No,5,5,10,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,10,10,No,"Strongly agree

1
","Strongly disagree

5
",3,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",3,More than 102 €,Less than today,False,There is no relationship,Moderately serious,Female,27,16 500 € – 22 000 €,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:38:53,2022-09-19 05:04:17,IP Address,100,1524,True,2022-09-19 05:04:17,R_2aJ2CUj7g2zWxGp,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,10,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,5,5,10,10,No,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,No,Consider it a gift and not pay for the coupon.,2,More than 102 €,Less than today,False,I do not know,Absolutely serious,Male,38,More than 27 000 €,20,Spain,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:42:35,2022-09-19 05:04:45,IP Address,100,1330,True,2022-09-19 05:04:45,R_2D8fM4PL3tiKPky,anonymous,PT,1,I agree to participate in the research,B,0,5,0,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,5,10,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,5,10,Yes,"Strongly disagree

5
",2,2,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,False,They collapse,Very serious,Male,23,Less than 5500 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:59:49,2022-09-19 05:08:30,IP Address,100,520,True,2022-09-19 05:08:30,R_1kTxN9lUU4A6dSt,anonymous,PT,1,I agree to participate in the research,A,5,5,5,5,1.50,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,5,A,Yes,Pay your friend 10 € for the coupon.,B,10,10,10,10,No,"Strongly agree

1
","Strongly disagree

5
",4,A,No,Pay your friend 10 € for the coupon.,1.50,More than 102 €,Less than today,False,I do not know,Absolutely serious,Male,19,Less than 5500 €,13,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:00:26,2022-09-19 05:09:32,IP Address,100,545,True,2022-09-19 05:09:32,R_2w4Rb81leOT6gEm,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,0,5,0,10,No difference,Yes,Pay your friend 10 € for the coupon.,B,0,10,0,10,Yes,3,4,2,No difference,Yes,Pay your friend 10 € for the coupon.,2,More than 102 €,Less than today,False,They collapse,Absolutely serious,Male,30,More than 27 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:03:08,2022-09-19 05:10:02,IP Address,100,413,True,2022-09-19 05:10:02,R_1LMu7mXmgNY6r3B,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,5,5,"Strongly disagree
5","Strongly disagree
5","Strongly agree
1",No,5,5,5,5,No difference,Yes,Consider it a gift and not pay for the coupon.,B,5,5,10,10,No,"Strongly disagree

5
","Strongly disagree

5
","Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",4,More than 102 €,Less than today,False,They collapse,Absolutely serious,Female,25,22 000 € – 27 000 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 05:01:43,2022-09-19 05:10:47,IP Address,100,543,True,2022-09-19 05:10:47,R_2VPdd48NIyjECZt,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,0,5,0,10,4,"Strongly agree
1",3,"Strongly disagree
5",Yes,5,5,5,10,A,Yes,Pay your friend 10 € for the coupon.,B,10,10,10,10,Yes,"Strongly agree

1
",3,"Strongly disagree

5
",B,Yes,Pay your friend 10 € for the coupon.,2,More than 102 €,I do not know,False,I do not know,Absolutely serious,Female,27,11 000 € – 13 700 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 04:56:47,2022-09-19 05:11:41,IP Address,100,893,True,2022-09-19 05:11:41,R_2TKSpSDTNst91h3,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",0,5,0,5,0,4,2,4,No,0,5,0,5,B,No,Consider it a gift and not pay for the coupon.,B,0,5,0,10,No,3,3,3,A,No,Pay your friend 10 € for the coupon.,0,More than 102 €,Less than today,False,I do not know,Moderately serious,Male,30,22 000 € – 27 000 €,14,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 04:42:04,2022-09-19 05:13:35,IP Address,100,1891,True,2022-09-19 05:13:36,R_21iHL8zZWWB2Ce1,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,5,10,2,4,4,Yes,0,5,0,5,A,Yes,Pay your friend 10 € for the coupon.,B,0,10,0,10,Yes,3,3,3,B,Yes,Pay your friend 10 € for the coupon.,3,Less than 102 €,I do not know,False,I do not know,Absolutely serious,Female,43,8200 € – 11 000 €,12,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 05:01:39,2022-09-19 05:19:41,IP Address,100,1081,True,2022-09-19 05:19:41,R_2y1KXYWyTWmy2cB,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",2.5,5,2.5,10,5,2,4,3,Yes,5,5,5,10,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,3,5,5,10,Yes,2,4,3,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,I do not know,I do not know,Very serious,Male,25,5500 € – 8200 €,17,Italy,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:14:38,2022-09-19 05:21:46,IP Address,100,427,True,2022-09-19 05:21:46,R_2yfottu6PRRH9PB,anonymous,PT,1,I agree to participate in the research,"No difference ",5,5,10,10,10,2,4,4,Yes,5,5,10,10,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,5,5,10,10,Yes,2,4,4,No difference,Yes,Consider it a gift and not pay for the coupon.,5,More than 102 €,Less than today,False,I do not know,Moderately serious,Male,50,Prefer not to answer,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:13:01,2022-09-19 05:26:50,IP Address,100,829,True,2022-09-19 05:26:50,R_2WxpM34m3VzA5mE,anonymous,PT,1,I agree to participate in the research,A,0,5,0,10,2,2,4,3,No,5,5,5,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,10,10,No,4,3,"Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,False,They collapse,Absolutely serious,Male,27,More than 27 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:28:04,2022-09-19 05:40:14,IP Address,100,729,True,2022-09-19 05:40:14,R_3O8M6wt7ghn9Hdn,anonymous,PT,0.8999999761581421,I agree to participate in the research,B,0,5,0,10,3,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,7,5,10,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,10,12,No,4,4,4,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",3,Less than 102 €,Less than today,False,I do not know,Absolutely serious,Male,27,16 500 € – 22 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:33:52,2022-09-19 05:42:17,IP Address,100,504,True,2022-09-19 05:42:17,R_29gI1LWzxSdF5ce,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,2,"Strongly disagree
5","Strongly agree
1","Strongly disagree
5",No,5,5,10,10,No difference,Yes,Pay your friend 10 € for the coupon.,No difference,5,5,10,10,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",No difference,No,Pay your friend 10 € for the coupon.,2,More than 102 €,Less than today,False,I do not know,Absolutely serious,Male,36,13 700 € – 16 500 €,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:37:23,2022-09-19 05:46:26,IP Address,100,543,True,2022-09-19 05:46:26,R_3gNnnARoKC3pNaW,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,5,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,5,5,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",A,4,5,8,10,No,"Strongly disagree

5
","Strongly agree

1
",3,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,False,I do not know,Very serious,Female,38,Prefer not to answer,19,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:47:07,2022-09-19 05:48:13,IP Address,100,66,True,2022-09-19 05:48:13,R_3JFyGnjzmKFnoHj,anonymous,PT,1,I do NOT agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r
2022-09-19 05:48:23,2022-09-19 05:57:43,IP Address,100,560,True,2022-09-19 05:57:43,R_27Ea0SskGx03HUL,anonymous,PT,1,I agree to participate in the research,"No difference ",5,5,5,5,2,"Strongly agree
1",4,3,No,5,5,5,5,No difference,No,Consider it a gift and not pay for the coupon.,No difference,10,10,10,10,No,"Strongly agree

1
",4,3,B,No,Consider it a gift and not pay for the coupon.,1.50,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,27,More than 27 000 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 05:58:24,2022-09-19 06:18:55,IP Address,100,1231,True,2022-09-19 06:18:55,R_Aimqq4ZlQs3Tnb3,anonymous,PT,1,I agree to participate in the research,A,3,5,7,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,7,10,A,Yes,Consider it a gift and not pay for the coupon.,A,5,5,10,10,Yes,"Strongly disagree

5
",2,2,B,No,Consider it a gift and not pay for the coupon.,2,More than 102 €,Less than today,False,I do not know,Absolutely serious,Male,26,Prefer not to answer,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 06:06:11,2022-09-19 06:22:29,IP Address,100,977,True,2022-09-19 06:22:29,R_xgbbQ8Bi14nmQxP,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",5,5,10,10,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,10,10,A,No,Consider it a gift and not pay for the coupon.,B,5,5,10,10,Yes,2,4,"Strongly disagree

5
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",3,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,26,Less than 5500 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 06:13:35,2022-09-19 06:24:33,IP Address,100,658,True,2022-09-19 06:24:33,R_2rqfuAzI39NJzdA,anonymous,PT,0.800000011920929,I agree to participate in the research,"No difference ",5,5,5,5,3,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,5,5,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,10,10,10,10,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,Yes,Consider it a gift and not pay for the coupon.,3,More than 102 €,Less than today,I do not know,I do not know,Very serious,Male,38,More than 27 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 06:17:45,2022-09-19 06:36:17,IP Address,100,1111,True,2022-09-19 06:36:17,R_cAc0AbxKplXx0Gd,anonymous,PT,1,I agree to participate in the research,"No difference ",5,10,5,10,15,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,10,5,10,No difference,Yes,Consider it a gift and not pay for the coupon.,B,10,15,10,15,No,4,"Strongly agree

1
","Strongly agree

1
",A,Yes,Consider it a gift and not pay for the coupon.,5,More than 102 €,Less than today,False,I do not know,Very serious,Female,29,Prefer not to answer,17,Netherlands,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 06:24:56,2022-09-19 06:38:40,IP Address,100,823,True,2022-09-19 06:38:40,R_pFS8SqdykKHNN1n,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",5,5,5,9.5,3,2,"Strongly disagree
5",2,No,5,5,5,9.5,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,5,9.5,No,2,"Strongly disagree

5
",2,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",3,I do not know,Exactly the same as today,False,They remain unchanged,Moderately serious,Male,26,5500 € – 8200 €,13,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:08:52,2022-09-19 07:17:37,IP Address,100,524,True,2022-09-19 07:17:37,R_u3cKlRrErdJvnBT,anonymous,PT,1,I agree to participate in the research,"No difference ",5,10,5,10,5,"Strongly agree
1","Strongly disagree
5",3,No,5,10,5,10,A,Yes,Consider it a gift and not pay for the coupon.,B,10,10,10,10,No,3,4,2,No difference,No,Pay your friend 10 € for the coupon.,3,Less than 102 €,Less than today,I do not know,I do not know,Absolutely serious,Male,26,16 500 € – 22 000 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 07:15:03,2022-09-19 07:23:24,IP Address,100,500,True,2022-09-19 07:23:24,R_2zTT2WtFFB2qfji,anonymous,PT,1,I agree to participate in the research,"No difference ",5,5,5,10,3,4,2,2,Yes,5,5,5,10,A,Yes,Pay your friend 10 € for the coupon.,B,5,5,5,10,Yes,2,2,2,B,Yes,Pay your friend 10 € for the coupon.,1.50,More than 102 €,More than today,False,They remain unchanged,Very serious,Male,21,22 000 € – 27 000 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:15:41,2022-09-19 07:26:13,IP Address,100,632,True,2022-09-19 07:26:14,R_2bVJmNgssDKstcD,anonymous,PT,0.8999999761581421,I agree to participate in the research,A,5,5,5,10,5,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,5,10,A,Yes,Consider it a gift and not pay for the coupon.,B,10,10,10,10,Yes,4,"Strongly agree

1
",4,B,Yes,Consider it a gift and not pay for the coupon.,3,More than 102 €,Less than today,False,They remain unchanged,Moderately serious,Male,30,22 000 € – 27 000 €,15,Spain,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:23:23,2022-09-19 07:35:17,IP Address,100,714,True,2022-09-19 07:35:19,R_1CdadpVyx8UTzzO,anonymous,PT,0.8999999761581421,I agree to participate in the research,"No difference ",5,5,10,10,2,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",Yes,5,5,10,10,No difference,Yes,Pay your friend 10 € for the coupon.,B,5,5,10,10,Yes,"Strongly agree

1
","Strongly disagree

5
",3,No difference,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",2,More than 102 €,Less than today,False,I do not know,Very serious,Male,34,More than 27 000 €,15,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:27:50,2022-09-19 07:40:55,IP Address,100,784,True,2022-09-19 07:40:55,R_27Ir8wAvZUXm0CP,anonymous,PT,1,I agree to participate in the research,B,0,5,0,10,4,2,4,"Strongly disagree
5",No,0,5,0,10,A,Yes,Consider it a gift and not pay for the coupon.,A,0,5,0,10,No,"Strongly disagree

5
",2,4,A,Yes,Pay your friend 10 € for the coupon.,2,More than 102 €,Less than today,False,They collapse,Absolutely serious,Male,45,22 000 € – 27 000 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:41:58,2022-09-19 07:54:51,IP Address,100,773,True,2022-09-19 07:54:51,R_3m4shax4hnP3APU,anonymous,PT,1,I agree to participate in the research,A,0,5,5,10,3,"Strongly agree
1",4,4,Yes,5,5,5,10,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,5,5,5,10,No,4,2,2,No difference,No,"Pay some, but not the full amount for the coupon (for example, half the price).",1.50,More than 102 €,I do not know,I do not know,They collapse,Very serious,Male,23,Less than 5500 €,17,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 07:50:55,2022-09-19 07:59:55,IP Address,100,539,True,2022-09-19 07:59:55,R_33pC7b9CpSkxMAw,anonymous,PT,1,I agree to participate in the research,"No difference ",0,5,0,10,3,"Strongly agree
1",4,"Strongly disagree
5",Yes,0,5,0,10,B,Yes,Pay your friend 10 € for the coupon.,B,0,5,0,10,Yes,"Strongly agree

1
",4,"Strongly disagree

5
",B,Yes,Pay your friend 10 € for the coupon.,1.5,More than 102 €,Less than today,False,They remain unchanged,Moderately serious,Male,25,13 700 € – 16 500 €,14,Portugal,Brazilian Portuguese,I allow you to use the responses I provided in this study.,r
2022-09-19 07:56:55,2022-09-19 08:09:57,IP Address,100,781,True,2022-09-19 08:09:57,R_3m2GtBsHiflImPq,anonymous,PT,1,I agree to participate in the research,A,5,10,10,10,3,"Strongly agree
1","Strongly disagree
5","Strongly disagree
5",No,5,5,10,10,A,No,Consider it a gift and not pay for the coupon.,B,5,5,10,10,No,3,4,2,B,No,Pay your friend 10 € for the coupon.,1,More than 102 €,Less than today,I do not know,I do not know,Absolutely serious,Female,24,Prefer not to answer,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 08:00:35,2022-09-19 08:13:36,IP Address,100,780,True,2022-09-19 08:13:36,R_3NEWL2vBQDnKhBb,anonymous,PT,1,I agree to participate in the research,"No difference ",5,10,10,15,4,"Strongly agree
1","Strongly disagree
5",2,Yes,5,10,10,10,No difference,Yes,Consider it a gift and not pay for the coupon.,B,10,10,10,10,Yes,2,"Strongly disagree

5
","Strongly agree

1
",No difference,Yes,Pay your friend 10 € for the coupon.,1.50,More than 102 €,I do not know,True,I do not know,Absolutely serious,Female,31,13 700 € – 16 500 €,18,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
2022-09-19 08:05:55,2022-09-19 08:13:58,IP Address,100,483,True,2022-09-19 08:13:58,R_25XUcJwO0frBNMi,anonymous,PT,1,I agree to participate in the research,A,3,5,5,10,3,"Strongly agree
1",4,4,Yes,3,5,5,10,A,Yes,Pay your friend 10 € for the coupon.,B,6,10,5,10,Yes,3,2,2,B,Yes,Pay your friend 10 € for the coupon.,2,More than 102 €,Less than today,False,I do not know,Absolutely serious,Female,22,8200 € – 11 000 €,16,Portugal,European Portuguese,I allow you to use the responses I provided in this study.,
