"","subject","Gender","Age","Income","Education","Residence","Country","NativeLanguage","FinancialLiteracy","attention_check_grater_than_3","attention_check_grater_than_2","loi_lower_than_loiX0_33","native_language_is_country_language","coupon","response","numeric_income"
"5042","R_24FW9POhOZuPy5Q","Female","21","Less than 1800 €","14","Germany","Germany","German",0,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5043","R_2q8WbMK97jN1cbX","Female","29","4700 € - 5700 €","19","Germany","Germany","Italian",2,TRUE,TRUE,FALSE,FALSE,"purchased",0,4
"5044","R_3irvYOhivkPb7v5","Female","21","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5045","R_248W7iUHDO8x4QU","Female","21","Less than 1800 €","15","Spain","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5046","R_3p3CgEfr7lDFZP0","Female","25","More than 5700 €","14","Spain","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,5
"5047","R_ym7ZwCuvLeT80fL","Female","22","2800 € - 3800 €","15","Germany","Germany","German",3,FALSE,TRUE,FALSE,TRUE,"purchased",0,2
"5048","R_2U5vTwlayKCxUUi","Female","18","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5049","R_3gZzQcYGt5wenj1","Male","65","Prefer not to answer","13","Germany","Germany","German",4,FALSE,TRUE,FALSE,TRUE,"purchased",1,NA
"5050","R_1gjwPhwsLlWhlLf","Prefer not to say","20","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5051","R_000otW5U4BjxaAp","Female","25","Less than 1800 €","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5052","R_3O6orXK15zRe9LD","Female","21","Less than 1800 €","14","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5053","R_1Cd8x17rAOwetUh","Female","18","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5054","R_YaeXdIufQPwcrKN","Female","19","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5055","R_1JWLmfbh4dKHBXH","Female","23","Less than 1800 €","15","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5056","R_ZvCriZx39YqHw65","Female","19","2800 € - 3800 €","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,2
"5057","R_3HZGoKlH0caI668","Female","18","More than 5700 €","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,5
"5058","R_29sWiNtVKOv40F3","Female","21","Less than 1800 €","14","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5059","R_b3dUGtThkCmj7MZ","Female","22","Less than 1800 €","15","Austria","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5060","R_V3zbnLS6hvCjnFf","Female","24","2800 € - 3800 €","16.5","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,2
"5061","R_3LjptHNJgxOjkCd","Female","23","Less than 1800 €","16","Germany","Germany","Turkish",1,TRUE,TRUE,FALSE,FALSE,"purchased",1,0
"5062","R_3HpQ9W8H0kF4l0o","Female","24","More than 5700 €","16","Germany","Germany","Other",3,TRUE,TRUE,FALSE,FALSE,"purchased",1,5
"5063","R_1GEyQNNxKCvt4i7","Female","21","Less than 1800 €","13","Germany","Germany","German",0,FALSE,TRUE,FALSE,TRUE,"purchased",0,0
"5064","R_XREHG1HaWKeLw7D","Female","18","2800 € - 3800 €","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,2
"5065","R_3EmubvbIzAaZQ3x","Female","20","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5066","R_s73JNU3em83YndL","Female","24","1800 € - 2800 €","16","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,1
"5067","R_3oF2kSNRPMk5Bmx","Female","19","Less than 1800 €","12","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5068","R_UylYmfNcvtklPB7","Female","20","Less than 1800 €","14","Austria","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5069","R_3Ebcg8TynaKybBw","Female","20","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5070","R_2ygbqiRQ9OC6JAf","Female","52","Less than 1800 €","21","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5071","R_1rPMK8e1JxUDkhY","Female","26","Less than 1800 €","20","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5072","R_1FKzQzrMgbddLhQ","Female","19","Less than 1800 €","14","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5073","R_1EiAGeEbyS0OUey","Female","23","2800 € - 3800 €","15","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,2
"5074","R_O0BtzLQ1j1cMaNr","Female","20","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5075","R_1QJxzDsQOYIuu3J","Female","21","Less than 1800 €","15","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5076","R_emSlAEXdk8T1wgV","Female","18","Prefer not to answer","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,NA
"5077","R_8DpcjdySsAzKAzT","Female","24","1800 € - 2800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,1
"5078","R_1doulp8kT93MEgt","Male","38","More than 5700 €","19","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,5
"5079","R_2duLubrgkTpttzL","Male","25","1800 € - 2800 €","13","Germany","Germany","German",4,FALSE,TRUE,FALSE,TRUE,"purchased",1,1
"5080","R_2dKfASkVMGwkonF","Female","22","Prefer not to answer","14","Germany","Germany","Other",2,TRUE,TRUE,FALSE,FALSE,"purchased",1,NA
"5081","R_3MaRdwipeTy8RKL","Male","23","Less than 1800 €","16","Austria","Germany","German",4,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5082","R_02Knp9Mo67UsSuB","Female","18","Less than 1800 €","10","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5083","R_p62eAWOvP8jsGpX","Female","19","Prefer not to answer","12","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,NA
"5084","R_242Zr5NGaHGE7Bh","Male","23","Prefer not to answer","17","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,NA
"5085","R_8IAAIhTWx3qfQQh","Female","53","2800 € - 3800 €","18","Germany","Germany","Hungarian",3,TRUE,TRUE,FALSE,FALSE,"purchased",1,2
"5086","R_3oRuMUOgvMJGzXO","Male","21","Prefer not to answer","14","Germany","Germany","German",4,FALSE,TRUE,FALSE,TRUE,"purchased",1,NA
"5087","R_1Fx3JreEyrHnIYp","Female","23","1800 € - 2800 €","17","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,1
"5088","R_qDQuKYsFlVyjRex","Male","51","Prefer not to answer","18","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,NA
"5089","R_42PnWdPKTxFFtO9","Female","18","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5090","R_qIwlPdbP8Nfdcid","Male","19","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5091","R_2SvHdAKR4PSTV9I","Male","31","Less than 1800 €","14","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5092","R_2vie3cVG8aOW9yq","Female","19","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5093","R_22YzVrDbM5J5V85","Male","24","Less than 1800 €","17","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5094","R_1rvtQ2hNjaXR33U","Female","20","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5095","R_2D1DUoRK32FR4Jr","Female","24","1800 € - 2800 €","17","Germany","Germany","Other",2,TRUE,TRUE,FALSE,FALSE,"purchased",0,1
"5096","R_ac9mA95Kv9SjN5v","Female","20","Less than 1800 €","13","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5097","R_sSZyBzMOF8NJlCh","Female","19","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5098","R_2XagFOZSIvdWOXm","Female","19","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5099","R_3g5Um2WZWxOt5hU","Male","22","Less than 1800 €","16","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5100","R_Om3ygpmAXc1gVjP","Female","34","3800 € - 4700 €","18","Germany","Germany","Russian",2,TRUE,TRUE,FALSE,FALSE,"purchased",0,3
"5101","R_u3UEv8kJi6FYf1n","Female","24","Less than 1800 €","18","Germany","Germany","German",4,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5102","R_bxrAeUNJZo6CIZr","Female","20","Less than 1800 €","13","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5103","R_2cq5yTXldD96EU9","Male","23","3800 € - 4700 €","10","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,3
"5104","R_3LjzN9FtrCLanGZ","Female","21","Less than 1800 €","14","Germany","Germany","German",4,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5105","R_1Cd2J1LXVtBPcCs","Female","34","More than 5700 €","20","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,5
"5106","R_3lFbSccw8EkKjLJ","Female","19","Less than 1800 €","12","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5107","R_6xsneQyFx2pQMCt","Female","18","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5108","R_XF0m47gu0XKgclX","Female","34","3800 € - 4700 €","23","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,3
"5109","R_1faaykKpxz8ofGH","Female","25","2800 € - 3800 €","17","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,2
"5110","R_3PdBQ66C9dsUU55","Female","22","Less than 1800 €","16","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5111","R_2uWE86LGFsC4Swz","Female","18","Prefer not to answer","12","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",1,NA
"5112","R_Uo49X5gBVtQMyS5","Female","21","Less than 1800 €","15","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5113","R_yUXeBP3WxAHIA7L","Female","19","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5114","R_wTQHX6PKyToxQ6B","Female","18","Less than 1800 €","12","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5115","R_22tNnRhhKs3PBAu","Female","26","Prefer not to answer","12","Austria","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,NA
"5116","R_uyOV937z42vlwqJ","Female","23","Less than 1800 €","15","Austria","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5117","R_3fjfUP7PuCtOx8G","Female","19","Less than 1800 €","14","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5118","R_vekbmJGZke8Nu9z","Female","22","1800 € - 2800 €","14","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,1
"5119","R_AzGIjGIwQ6gujg5","Female","19","Less than 1800 €","11","Germany","Germany","German",1,FALSE,TRUE,FALSE,TRUE,"purchased",1,0
"5120","R_2WxxXGziCA5igDg","Male","23","2800 € - 3800 €","14","Austria","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,2
"5121","R_1NlY0fMer7odU1G","Female","32","2800 € - 3800 €","19","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,2
"5122","R_1OCeUENXNFS0uvR","Female","23","Less than 1800 €","15","Germany","Germany","German",3,FALSE,TRUE,FALSE,TRUE,"purchased",0,0
"5123","R_2dXUP34OGPVsqzi","Female","21","Less than 1800 €","14","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5124","R_3p0di0ozZWOQeQl","Female","22","Prefer not to answer","12","Germany","Germany","Russian",2,TRUE,TRUE,FALSE,FALSE,"purchased",1,NA
"5125","R_bNrddVOHOHmoGHL","Female","53","1800 € - 2800 €","17","Germany","Germany","German",3,FALSE,TRUE,FALSE,TRUE,"purchased",0,1
"5126","R_2VHZGiJAEoZ1Gnk","Female","20","1800 € - 2800 €","12","Germany","Germany","German",2,FALSE,FALSE,FALSE,TRUE,"purchased",1,1
"5127","R_2S1frf19BeoXtG8","Male","20","Less than 1800 €","13","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5128","R_1jKf0DKfApiTihG","Female","23","Less than 1800 €","15","Austria","Germany","German",2,TRUE,TRUE,TRUE,TRUE,"purchased",0,0
"5129","R_0dKc1X1309H3sJP","Female","26","Less than 1800 €","12","Austria","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5130","R_1BPjGnW18Y03nOh","Female","20","Prefer not to answer","17","Luxembourg","Germany","Other",2,TRUE,TRUE,FALSE,FALSE,"purchased",0,NA
"5131","R_2Sidp2ybhuXJpxh","Female","25","1800 € - 2800 €","18","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,1
"5132","R_2XjMhdsbYgTc0PI","Female","21","Less than 1800 €","12","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5133","R_1Ftt43SF61Hh4ZY","Female","21","1800 € - 2800 €","14","Germany","Germany","German",1,TRUE,TRUE,FALSE,TRUE,"purchased",0,1
"5134","R_3Hhu6u8Ld2LM97r","Male","46","1800 € - 2800 €","16","Germany","Germany","German",4,TRUE,TRUE,FALSE,TRUE,"purchased",0,1
"5135","R_2rVgxor7739VzTW","Female","21","Less than 1800 €","15","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",0,0
"5136","R_tWMGOxm1IOVqRvH","Male","68","4700 € - 5700 €","19","Germany","Germany","German",3,TRUE,TRUE,FALSE,TRUE,"purchased",1,4
"5137","R_ApagvD5WA4BO1y1","Female","20","Less than 1800 €","15","Germany","Germany","German",2,TRUE,TRUE,FALSE,TRUE,"purchased",1,0
"5138","R_3EgWif5RydY1cKh","Female","25","Prefer not to answer","11","Germany","Germany","Russian",1,TRUE,TRUE,FALSE,FALSE,"purchased",0,NA
"5139","R_2xMrhBj5ebMSunR","Female","27","GHS 17 000 - GHS 26 000","16","Germany","Ghana","German",0,TRUE,TRUE,FALSE,FALSE,"free",0,1
"5140","R_3dLYtZ98QMPOXba","Female","32","Less than GHS 17 000","18","Germany","Ghana","German",4,TRUE,TRUE,FALSE,FALSE,"free",0,0
"5141","R_ST1JganI0jU2xNf","Male","60","More than GHS 53 000","22","Germany","Ghana","German",3,FALSE,TRUE,FALSE,FALSE,"free",1,5
"5142","R_3m3riK8qp6IDJHO","Female","54","More than GHS 53 000","15","Germany","Ghana","German",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5143","R_Q9DvKBjMWNfiKkN","Female","26","GHS 26 000 - GHS 35 000","18","Germany","Ghana","German",3,TRUE,TRUE,FALSE,FALSE,"free",0,2
"5144","R_2DXOBzHvgcn859N","Female","47","More than GHS 53 000","25","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",1,5
"5145","R_1LwB2kVJcJKuaM2","Female","61","More than GHS 53 000","31","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5146","R_3gUfHdJErQaBi7G","Male","46","More than GHS 53 000","17","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5147","R_1hKz6Vdo9qwrDlI","Male","44","More than GHS 53 000","14","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5148","R_1OrS4QtPvl3k9Iy","Female","33","GHS 44 000 - GHS 53 000","20","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,4
"5149","R_3khNpeLkHEqbSU9","Female","46","More than GHS 53 000","25","Ghana","Ghana","English",3,FALSE,TRUE,FALSE,TRUE,"free",0,5
"5150","R_3qaFFUIBSTVfk4X","Female","25","GHS 17 000 - GHS 26 000","16","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",1,1
"5151","R_2ylbDnGYRqOCTEL","Male","26","Less than GHS 17 000","18","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",1,0
"5152","R_3IRxjMvYjycjmed","Male","39","More than GHS 53 000","15","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5153","R_x4vQ9ETZfsK7VtL","Female","42","GHS 44 000 - GHS 53 000","24","Ghana","Ghana","Afrikaans",0,TRUE,TRUE,FALSE,FALSE,"free",1,4
"5154","R_2t06ltNtYwtcEqh","Male","26","Less than GHS 17 000","16","Ghana","Ghana","English",1,TRUE,TRUE,FALSE,TRUE,"free",1,0
"5155","R_u98SBEbkdp5ViHD","Male","56","GHS 44 000 - GHS 53 000","25","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",1,4
"5156","R_1DUQRmGs5jGQOMW","Female","37","GHS 17 000 - GHS 26 000","17","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,1
"5157","R_5A6inbUXhkpS7WV","Female","40","More than GHS 53 000","22","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5158","R_3I4dTRZ9LBe0yGk","Female","18","Prefer not to answer","12","Ghana","Ghana","English",1,TRUE,TRUE,FALSE,TRUE,"free",1,NA
"5159","R_9SJTQL8PgooF37b","Male","27","Less than GHS 17 000","7","Ghana","Ghana","English",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"5160","R_1eUBzu6sdhOphlQ","Male","34","More than GHS 53 000","22","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5161","R_2Xb2vFdKNMh23VS","Female","42","GHS 35 000 - GHS 44 000","16","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,3
"5162","R_1HeivwOc9QB5FIk","Female","21","Prefer not to answer","15","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5163","R_2zzKzlZQAEk5J3R","Male","36","GHS 17 000 - GHS 26 000","22","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,1
"5164","R_2YfvCXT43epvaui","Female","60","More than GHS 53 000","16","United States of America","Ghana","Afrikaans",4,FALSE,TRUE,FALSE,FALSE,"free",1,5
"5165","R_1Q6ClZCA4pGWhEE","Male","32","More than GHS 53 000","20","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5166","R_2aFvHYAB6gUyPE9","Male","18","Prefer not to answer","17","Ghana","Ghana","Other",2,FALSE,TRUE,FALSE,FALSE,"free",1,NA
"5167","R_1LtZgg4NvYU0w2k","Female","47","More than GHS 53 000","20","Ghana","Ghana","Other",4,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5168","R_bJFClzvWjXVpAw9","Male","18","Prefer not to answer","15","Ghana","Ghana","Other",0,TRUE,TRUE,FALSE,FALSE,"free",0,NA
"5169","R_1pMOsH3EpWBRYNs","Female","50","GHS 26 000 - GHS 35 000","44","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,2
"5170","R_2CkUvlEmPOm1NZM","Male","54","More than GHS 53 000","28","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5171","R_AzKh9Qr7CgcmMUx","Female","23","Less than GHS 17 000","3","Ghana","Ghana","English",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"5172","R_2OIT4GusgJ9tlfN","Female","42","More than GHS 53 000","21","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5173","R_2zP8y6oEq6eVq14","Male","22","Less than GHS 17 000","17","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,0
"5174","R_3rS3O0xzcvVh3GK","Female","38","More than GHS 53 000","24","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5175","R_6f0RZJNDh8PdMWJ","Male","18","Prefer not to answer","4","Ghana","Ghana","English",0,TRUE,TRUE,FALSE,TRUE,"free",1,NA
"5176","R_122MTIQnp6QrjHp","Female","60","More than GHS 53 000","30","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",1,5
"5177","R_V4GyjOmKQe8HRSN","Female","37","More than GHS 53 000","22","Ghana","Ghana","Other",4,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5178","R_20Vh6X4YZEiIr5h","Male","36","More than GHS 53 000","23","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",1,5
"5179","R_W3v6SVY0I2DY5tn","Male","33","GHS 35 000 - GHS 44 000","31","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,3
"5180","R_5j7b06cgi5MF7nX","Female","23","Prefer not to answer","19","Ghana","Ghana","Other",1,TRUE,TRUE,FALSE,FALSE,"free",1,NA
"5181","R_3IYSmnltrp1qGAR","Female","21","Prefer not to answer","18","Ghana","Ghana","Other",1,TRUE,TRUE,FALSE,FALSE,"free",1,NA
"5182","R_1gckR94dV40bDJV","Female","21","Prefer not to answer","15","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,NA
"5183","R_1IWPg5OM3tW7fgw","Female","22","Prefer not to answer","22","Ghana","Ghana","English",0,FALSE,TRUE,FALSE,TRUE,"free",0,NA
"5184","R_2AFjQumFk0x9kfe","Male","44","Prefer not to answer","17","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5185","R_3oL9sK6BMBw0Lp9","Male","30","Less than GHS 17 000","18","Ghana","Ghana","Other",3,TRUE,TRUE,FALSE,FALSE,"free",0,0
"5186","R_2VehWEJGGNmAY2i","Female","24","More than GHS 53 000","16","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5187","R_2AXcIWxA1v4HVz5","Female","43","More than GHS 53 000","24","Ghana","Ghana","Other",4,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5188","R_3L7FrqMeevSEKuo","Male","39","More than GHS 53 000","24","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5189","R_1fkEq6pfyPav3E2","Male","24","Less than GHS 17 000","15","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,0
"5190","R_2VjsGTCfoszXwzD","Female","24","Less than GHS 17 000","23","Ghana","Ghana","English",1,TRUE,TRUE,FALSE,TRUE,"free",0,0
"5191","R_2sYHvAc0uUMfAY7","Male","21","Prefer not to answer","13","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5192","R_pzOecKDyvQYJrDb","Male","34","GHS 44 000 - GHS 53 000","26","Ghana","Ghana","Other",1,TRUE,TRUE,FALSE,FALSE,"free",1,4
"5193","R_2YWZs6XHQ060OUN","Male","24","Prefer not to answer","16","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5194","R_3dE0RuMXASHRAns","Male","44","More than GHS 53 000","21","Ghana","Ghana","Other",4,TRUE,TRUE,FALSE,FALSE,"free",1,5
"5195","R_Zq9ao0D1PLO3dIZ","Male","49","More than GHS 53 000","22","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5196","R_25zwAxJqbQ9K2ap","Male","29","Less than GHS 17 000","16","Ghana","Ghana","Other",0,TRUE,TRUE,FALSE,FALSE,"free",0,0
"5197","R_2w5FX6uk6WprfhD","Male","44","More than GHS 53 000","29","Ghana","Ghana","English",4,TRUE,TRUE,FALSE,TRUE,"free",0,5
"5198","R_2BlF17e3qTrszlF","Male","37","GHS 26 000 - GHS 35 000","21","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",1,2
"5199","R_1QsEPK96rdC9Dn3","Female","21","GHS 17 000 - GHS 26 000","15","Ghana","Ghana","Other",1,FALSE,FALSE,FALSE,FALSE,"free",1,1
"5200","R_1pzZZp3fKGCAmyn","Female","28","GHS 44 000 - GHS 53 000","13","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,4
"5201","R_2robpZlYDOTLpsU","Female","58","GHS 35 000 - GHS 44 000","11","Ghana","Ghana","Other",1,TRUE,TRUE,FALSE,FALSE,"free",0,3
"5202","R_RQOzFg5Pq6aYGk1","Female","20","Prefer not to answer","6","Ghana","Ghana","English",0,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5203","R_pAd93H3EySlbrTb","Male","32","GHS 26 000 - GHS 35 000","4","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"5204","R_1mOBc6EEiPm3PxL","Male","40","More than GHS 53 000","22","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,5
"5205","R_1eCBdOpq0T5cwU7","Male","21","More than GHS 53 000","16","Ghana","Ghana","English",4,TRUE,TRUE,FALSE,TRUE,"free",1,5
"5206","R_2vdprAR2caVTlmo","Male","37","Prefer not to answer","20","Ghana","Ghana","English",2,TRUE,TRUE,FALSE,TRUE,"free",0,NA
"5207","R_1jSRYZZigsg0VXK","Male","31","GHS 26 000 - GHS 35 000","20","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",0,2
"5208","R_1hKL5blE8o0XllF","Male","33","Less than GHS 17 000","20","Ghana","Ghana","Other",4,FALSE,TRUE,FALSE,FALSE,"free",0,0
"5209","R_1rCZjYUFoBHxk0B","Male","44","GHS 35 000 - GHS 44 000","20","Ghana","Ghana","Other",4,TRUE,TRUE,FALSE,FALSE,"free",0,3
"5210","R_DGH2ztzZkYXJMTD","Male","28","Less than GHS 17 000","3","Ghana","Ghana","English",2,FALSE,TRUE,FALSE,TRUE,"free",0,0
"5211","R_3Pn7BiYlKDCpeZC","Male","43","GHS 17 000 - GHS 26 000","33","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",1,1
"5212","R_323zg8gpTX8WNjo","Female","43","GHS 17 000 - GHS 26 000","18","Ghana","Ghana","English",3,TRUE,TRUE,FALSE,TRUE,"free",1,1
"5213","R_3mmjK9Gvo2mZIsw","Male","22","Prefer not to answer","16","Ghana","Ghana","Other",2,TRUE,TRUE,FALSE,FALSE,"free",0,NA
