StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Consent,MrAB1,Game1_1_1,Game1_1_2,Game1_2_1,Game1_2_2,Drink1,Gym1 _1,Gym1 _2,Gym1 _3,Jacket1,Game2_1_1,Game2_1_2,Game2_2_1,Game2_2_2,MrAB2,"Play2 ","Plane2 ",MrAB3,Game3_1 _1,Game3_1 _2,Game3_2_1,Game3_2_2,Jacket2,Gym2_1,Gym2_2,Gym2_3,"MrAB4 ","Play1 ","Plane1 ",Drink2,fin_lit1,fin_lit2,fin_lit3,fin_lit4,Att_check,Gender,"Age ",Income,Education,Residence,Native language,Debriefing
2022-09-13 07:55:32,2022-09-13 08:08:19,IP Address,100,767,True,2022-09-13 08:08:21,R_0SQSXWyqT77Y3oR,anonymous,ZH-S,I agree to participate in the research,B,5,30,10,50,20,2,3,"Strongly agree

1
",Yes,10,20,20,30,A,Yes,Pay your friend ￥20 for the coupon.,B,10,30,20,50,No,4,"Strongly agree

1
",3,A,No,Pay your friend ￥20 for the coupon.,5,More than ￥1020,Less than today,I do not know,They collapse,Moderately serious,Female,20,Less than ￥15000,13,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 07:59:34,2022-09-13 08:12:23,IP Address,100,769,True,2022-09-13 08:12:24,R_r8sQDNn2dSEIE5b,anonymous,ZH-S,I agree to participate in the research,A,7,10,16,20,7,2,4,2,Yes,8,12,18,24,A,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,18,24,38,44,No,"Strongly disagree

5
",2,"Strongly agree

1
",B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",3,Less than ￥1020,Less than today,False,They collapse,Moderately serious,Female,28,More than ￥45000,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:05:58,2022-09-13 08:14:08,IP Address,100,490,True,2022-09-13 08:14:09,R_2YmuSmrWK2UsE0P,anonymous,ZH-S,I agree to participate in the research,A,10,15,20,30,50,"Strongly agree

1
",4,"Strongly disagree

5
",No,10,20,20,30,A,Yes,Consider it a gift and not pay for the coupon.,B,10,20,20,30,No,"Strongly agree

1
",4,"Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,50,More than ￥1020,Less than today,False,They collapse,Very serious,Female,25,￥15000 - ￥22000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:17:09,2022-09-13 08:27:00,IP Address,100,590,True,2022-09-13 08:27:00,R_pt0TBI9w7APw5gt,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,20,"Strongly agree

1
","Strongly disagree

5
",3,Yes,0,10,0,20,No difference,Yes,Pay your friend ￥20 for the coupon.,B,0,18,0,20,No,"Strongly agree

1
","Strongly disagree

5
",2,B,No,Pay your friend ￥20 for the coupon.,8,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,23,￥15000 - ￥22000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:34:16,2022-09-13 08:54:04,IP Address,100,1187,True,2022-09-13 08:54:04,R_3gN1FdnBBbZEz4T,anonymous,ZH-S,I agree to participate in the research,A,0,20,0,20,6,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,0,15,0,40,No difference,Yes,Pay your friend ￥20 for the coupon.,B,0,20,0,40,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,Yes,Pay your friend ￥20 for the coupon.,6,More than ￥1020,Less than today,True,They collapse,Very serious,Female,27,More than ￥45000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:41:24,2022-09-13 08:55:48,IP Address,100,864,True,2022-09-13 08:55:49,R_PRpewJnqtlIgQMN,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,20,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,10,10,20,20,A,No,Consider it a gift and not pay for the coupon.,B,20,20,20,20,Yes,3,3,3,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,25,Prefer not to answer,18.5,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:47:13,2022-09-13 08:59:05,IP Address,100,712,True,2022-09-13 08:59:05,R_5mYQ2SaD8Utwat3,anonymous,ZH-S,I agree to participate in the research,A,0,100,20,200,50,2,4,3,No,10,100,20,200,B,No,Consider it a gift and not pay for the coupon.,B,20,200,20,200,No,4,2,3,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than ￥1020,Less than today,True,I do not know,Moderately serious,Female,28,More than ￥45000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 08:57:40,2022-09-13 09:06:22,IP Address,100,521,True,2022-09-13 09:06:22,R_2Yh6SxMiPLnAysq,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,50,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,0,10,0,20,No difference,Yes,Pay your friend ￥20 for the coupon.,A,0,20,0,20,No,"Strongly agree

1
",4,"Strongly agree

1
",B,No,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,29,￥37500 - ￥45000,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 09:12:06,2022-09-13 09:35:38,IP Address,100,1411,True,2022-09-13 09:35:38,R_1jVOuaOponj2MnK,anonymous,ZH-S,I agree to participate in the research,B,0,10,0,20,30,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,0,10,0,20,A,Yes,Consider it a gift and not pay for the coupon.,B,0,20,0,20,Yes,3,3,"Strongly agree

1
",B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",10,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,33,More than ￥45000,22,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 09:28:37,2022-09-13 09:41:04,IP Address,100,747,True,2022-09-13 09:41:04,R_bDX0uh5lCZgVoHv,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,20,"Strongly agree

1
","Strongly disagree

5
",3,Yes,10,10,20,20,A,No,Pay your friend ￥20 for the coupon.,A,20,20,20,20,Yes,2,"Strongly disagree

5
","Strongly agree

1
",No difference,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,I do not know,Very serious,Male,33,More than ￥45000,12,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 10:04:09,2022-09-13 10:06:31,IP Address,100,142,True,2022-09-13 10:06:32,R_1ptItwYVfZISRDV,anonymous,ZH-S,I agree to participate in the research,A,1,1,1,1,1,"Strongly agree

1
","Strongly agree

1
","Strongly agree

1
",Yes,1,1,1,1,A,Yes,Pay your friend ￥20 for the coupon.,A,1,1,1,1,Yes,"Strongly agree

1
","Strongly agree

1
","Strongly agree

1
",A,No,Pay your friend ￥20 for the coupon.,1,Exactly ￥1020,More than today,False,They remain unchanged,Not serious at all,Non-binary / third gender,1,Less than ￥15000,1,Armenia,German,"I do NOT allow you to use the responses I provided in this study, and I want them to be deleted."
2022-09-13 09:50:58,2022-09-13 10:08:52,IP Address,100,1074,True,2022-09-13 10:08:53,R_1o6KMtIhZMMZtpn,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,20,"Strongly agree

1
","Strongly disagree

5
",4,Yes,0,10,0,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,0,20,0,20,No,4,"Strongly disagree

5
","Strongly agree

1
",B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,I do not know,Very serious,Female,34,Prefer not to answer,19,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 10:52:08,2022-09-13 11:00:54,IP Address,100,525,True,2022-09-13 11:00:54,R_2EtrDQuJxHWN2xZ,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,10,2,4,3,No,5,10,15,20,A,Yes,Pay your friend ￥20 for the coupon.,B,7,20,15,20,No,4,3,2,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,I do not know,Absolutely serious,Male,26,Less than ￥15000,18,Austria,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 16:30:34,2022-09-13 16:38:00,IP Address,100,445,True,2022-09-13 16:38:00,R_2B8rx6X7lsUbGKk,anonymous,ZH-S,I agree to participate in the research,A,10,10,20,20,20,3,3,2,No,10,10,20,20,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,10,20,20,No,3,3,2,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",20,More than ￥1020,Less than today,False,They collapse,Moderately serious,Female,26,More than ￥45000,18.5,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 17:20:04,2022-09-13 17:20:15,IP Address,100,11,True,2022-09-13 17:20:16,R_1NEv7OdT2HjMU1I,anonymous,ZH-S,I do NOT agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 18:08:28,2022-09-13 18:20:08,IP Address,100,699,True,2022-09-13 18:20:09,R_cOaIV0d9Xi99gZP,anonymous,ZH-S,I agree to participate in the research,A,0,12,0,25,100,2,2,2,Yes,10,12,20,25,A,Yes,Consider it a gift and not pay for the coupon.,B,20,25,20,25,Yes,3,2,2,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Moderately serious,Female,23,More than ￥45000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 18:09:08,2022-09-13 18:25:53,IP Address,100,1004,True,2022-09-13 18:25:54,R_2eURViQKZjjh1Pf,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,10,0,20,10,"Strongly disagree

5
",2,2,Yes,0,10,0,20,No difference,Yes,Pay your friend ￥20 for the coupon.,B,0,20,0,20,Yes,"Strongly disagree

5
",3,2,No difference,Yes,Pay your friend ￥20 for the coupon.,5,More than ￥1020,Less than today,True,I do not know,Very serious,Male,33,￥30000 - ￥37500,20,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 18:23:32,2022-09-13 18:30:11,IP Address,100,398,True,2022-09-13 18:30:11,R_3CNsbOK1wmSYKHn,anonymous,ZH-S,I agree to participate in the research,A,10,10,20,20,3,"Strongly disagree

5
","Strongly agree

1
",2,Yes,10,10,20,20,A,Yes,Consider it a gift and not pay for the coupon.,B,10,20,20,20,Yes,"Strongly disagree

5
",2,"Strongly agree

1
",B,Yes,Consider it a gift and not pay for the coupon.,3,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,23,Less than ￥15000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 17:46:33,2022-09-13 18:51:01,IP Address,100,3868,True,2022-09-13 18:51:02,R_3pnxfWbcS1CJZwi,anonymous,ZH-S,I agree to participate in the research,A,10,15,20,25,20,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,10,15,20,25,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,10,20,20,25,Yes,4,2,"Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Moderately serious,Male,31,￥22000 - ￥30000,1.5,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 19:19:31,2022-09-13 19:27:51,IP Address,100,500,True,2022-09-13 19:27:52,R_21zTsDJJqOv3eVd,anonymous,ZH-S,I agree to participate in the research,A,10,20,20,50,100,2,4,"Strongly agree

1
",Yes,10,20,20,50,B,Yes,Consider it a gift and not pay for the coupon.,B,20,30,20,50,Yes,"Strongly disagree

5
",2,3,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Male,29,More than ￥45000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 19:32:30,2022-09-13 19:44:23,IP Address,100,713,True,2022-09-13 19:44:24,R_2mIl7qVdEp4Ui5z,anonymous,ZH-S,I agree to participate in the research,A,0,20,0,30,40,2,2,3,Yes,0,10,0,30,A,Yes,Consider it a gift and not pay for the coupon.,B,0,20,0,30,No,3,3,3,B,Yes,Pay your friend ￥20 for the coupon.,20,More than ￥1020,Less than today,False,I do not know,Moderately serious,Female,20,￥15000 - ￥22000,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 19:58:55,2022-09-13 20:14:25,IP Address,100,929,True,2022-09-13 20:14:25,R_3FVTwpd262KJf29,anonymous,ZH-S,I agree to participate in the research,B,0,10,0,20,15,"Strongly agree

1
",4,4,Yes,5,10,10,30,A,Yes,Consider it a gift and not pay for the coupon.,B,5,25,10,30,No,4,"Strongly disagree

5
","Strongly disagree

5
",B,No,Consider it a gift and not pay for the coupon.,10,I do not know,Less than today,False,They remain unchanged,Slightly serious,Male,33,More than ￥45000,19,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 20:59:25,2022-09-13 21:07:05,IP Address,100,460,True,2022-09-13 21:07:06,R_1LOLqM8UafErfm4,anonymous,ZH-S,I agree to participate in the research,B,0,50,0,50,20,"Strongly agree

1
","Strongly disagree

5
",2,No,10,50,10,50,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,20,50,20,50,No,"Strongly agree

1
","Strongly disagree

5
",3,B,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Male,28,More than ￥45000,17,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 21:09:35,2022-09-13 21:16:40,IP Address,100,425,True,2022-09-13 21:16:40,R_2TtkSi7dewzNzEy,anonymous,ZH-S,I agree to participate in the research,B,10,20,22,30,10,"Strongly agree

1
",4,"Strongly agree

1
",Yes,12,20,22,30,A,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,20,30,22,30,Yes,4,2,4,B,No,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,25,More than ￥45000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 21:08:14,2022-09-13 21:22:00,IP Address,100,825,True,2022-09-13 21:22:00,R_3DcMElsVO8rLW0n,anonymous,ZH-S,I agree to participate in the research,A,10,10,20,20,30,"Strongly disagree

5
",2,"Strongly agree

1
",Yes,10,10,20,20,A,Yes,Pay your friend ￥20 for the coupon.,B,10,10,20,20,No,"Strongly disagree

5
",2,"Strongly agree

1
",B,Yes,Pay your friend ￥20 for the coupon.,15,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,26,￥22000 - ￥30000,19,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 21:45:13,2022-09-13 21:58:22,IP Address,100,789,True,2022-09-13 21:58:23,R_1Kd8f40zJVJad2S,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,20,0,40,50,"Strongly agree

1
","Strongly disagree

5
",4,No,0,20,10,30,A,Yes,Pay your friend ￥20 for the coupon.,B,0,20,10,30,Yes,3,4,2,No difference,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Male,24,￥15000 - ￥22000,17,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 21:44:07,2022-09-13 21:59:32,IP Address,100,924,True,2022-09-13 21:59:33,R_2zPks0HBoRAWQ3Q,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,12,0,25,15,3,4,3,No,10,12,20,25,A,No,Pay your friend ￥20 for the coupon.,B,20,20,20,20,No,4,4,3,B,Yes,Pay your friend ￥20 for the coupon.,3,More than ￥1020,Less than today,False,They collapse,Absolutely serious,Female,35,Prefer not to answer,24,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-14 00:18:41,2022-09-14 00:32:17,IP Address,100,816,True,2022-09-14 00:32:17,R_1FmJVpXehUiGahj,anonymous,ZH-S,I agree to participate in the research,"No difference ",10,20,20,40,50,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,10,30,20,50,A,Yes,Consider it a gift and not pay for the coupon.,B,20,30,20,50,No,3,"Strongly disagree

5
","Strongly agree

1
",B,Yes,Consider it a gift and not pay for the coupon.,20,More than ￥1020,Less than today,False,They remain unchanged,Absolutely serious,Female,30,More than ￥45000,17,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-14 03:31:00,2022-09-14 03:38:26,IP Address,100,446,True,2022-09-14 03:38:27,R_1eQ98GAsGYlxTJJ,anonymous,ZH-S,I agree to participate in the research,A,10,15,20,25,15,"Strongly disagree

5
",3,3,No,10,15,20,25,A,No,Consider it a gift and not pay for the coupon.,A,10,20,20,30,No,"Strongly agree

1
","Strongly disagree

5
",3,B,No,Consider it a gift and not pay for the coupon.,10,More than ￥1020,Less than today,False,They collapse,Very serious,Female,24,￥15000 - ￥22000,14,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-14 06:43:22,2022-09-14 06:50:11,IP Address,100,408,True,2022-09-14 06:50:11,R_1mkMLZJZ1BTSDAc,anonymous,ZH-S,I agree to participate in the research,B,5,20,15,40,40,"Strongly agree

1
","Strongly disagree

5
",4,Yes,10,20,20,40,A,Yes,Consider it a gift and not pay for the coupon.,B,10,20,20,40,Yes,4,"Strongly disagree

5
","Strongly agree

1
",B,Yes,Consider it a gift and not pay for the coupon.,20,More than ￥1020,Less than today,False,There is no relationship,Moderately serious,Male,23,￥30000 - ￥37500,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-14 07:03:26,2022-09-14 07:13:57,IP Address,100,631,True,2022-09-14 07:13:57,R_2ahTdFaedcO0Ewx,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,100,"Strongly agree

1
",4,4,Yes,10,10,20,20,A,Yes,Consider it a gift and not pay for the coupon.,B,20,20,20,20,Yes,3,4,2,B,Yes,Consider it a gift and not pay for the coupon.,20,More than ￥1020,Less than today,False,They collapse,Very serious,Female,29,More than ￥45000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-14 21:20:38,2022-09-14 21:31:25,IP Address,100,647,True,2022-09-14 21:31:25,R_2z88PDCjhHqfx3D,anonymous,ZH-S,I agree to participate in the research,B,0,10,10,20,15,3,"Strongly disagree

5
",2,Yes,10,20,10,20,A,No,Consider it a gift and not pay for the coupon.,B,20,30,20,30,Yes,4,"Strongly disagree

5
",2,B,Yes,Consider it a gift and not pay for the coupon.,8,More than ￥1020,Less than today,False,There is no relationship,Slightly serious,Female,32,More than ￥45000,18,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-15 17:59:15,2022-09-15 18:22:53,IP Address,100,1417,True,2022-09-15 18:22:54,R_12xVyuLN643MAUx,anonymous,ZH-S,I agree to participate in the research,A,10,20,10,20,10,"Strongly agree

1
",3,"Strongly agree

1
",No,10,10,20,20,A,Yes,Pay your friend ￥20 for the coupon.,B,10,20,10,20,No,"Strongly agree

1
",3,"Strongly agree

1
",A,Yes,Pay your friend ￥20 for the coupon.,10,More than ￥1020,Less than today,False,They remain unchanged,Absolutely serious,Female,35,￥15000 - ￥22000,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-17 02:50:45,2022-09-17 03:08:47,IP Address,100,1081,True,2022-09-17 03:08:48,R_28G5rPkWAxjDAxA,anonymous,ZH-S,I agree to participate in the research,B,0,8,0,18,30,"Strongly agree

1
","Strongly disagree

5
",2,Yes,0,10,0,10,B,Yes,Pay your friend ￥20 for the coupon.,B,0,10,0,20,Yes,"Strongly agree

1
","Strongly agree

1
","Strongly agree

1
",B,Yes,Pay your friend ￥20 for the coupon.,20,I do not know,I do not know,I do not know,I do not know,Absolutely serious,Female,23,Prefer not to answer,15,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-17 03:53:42,2022-09-17 04:03:00,IP Address,100,558,True,2022-09-17 04:03:01,R_2CZElCSMCWyfidY,anonymous,ZH-S,I agree to participate in the research,B,0,10,0,30,10,3,3,3,No,10,10,20,20,B,No,"Pay some, but not the full amount for the coupon (for example, half the price).",B,0,25,0,25,Yes,3,3,3,No difference,Yes,Consider it a gift and not pay for the coupon.,10,More than ￥1020,More than today,False,I do not know,Moderately serious,Female,23,Prefer not to answer,20,China,Chinese,"I do NOT allow you to use the responses I provided in this study, and I want them to be deleted."
2022-09-17 03:59:18,2022-09-17 04:06:36,IP Address,100,437,True,2022-09-17 04:06:36,R_3Oluvl2N3xytlkL,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,10,0,20,20,2,3,2,Yes,10,12,20,25,No difference,No,Pay your friend ￥20 for the coupon.,B,20,20,20,20,No,2,3,2,No difference,No,Pay your friend ￥20 for the coupon.,5,More than ￥1020,Less than today,False,They collapse,Very serious,Female,34,Prefer not to answer,16,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-17 08:09:03,2022-09-17 08:17:19,IP Address,100,495,True,2022-09-17 08:17:19,R_3g5eAmaiG5cEbKR,anonymous,ZH-S,I agree to participate in the research,A,0,15,5,25,60,3,2,"Strongly agree

1
",Yes,10,15,20,30,B,Yes,"Pay some, but not the full amount for the coupon (for example, half the price).",B,15,20,20,25,No,"Strongly disagree

5
","Strongly agree

1
","Strongly disagree

5
",B,Yes,Pay your friend ￥20 for the coupon.,20,Less than ￥1020,Less than today,False,I do not know,Absolutely serious,Female,49,More than ￥45000,24,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-17 08:09:30,2022-09-17 08:20:25,IP Address,100,654,True,2022-09-17 08:20:25,R_3PbFwTRSvtmcVSE,anonymous,ZH-S,I agree to participate in the research,A,0,25,0,30,15,"Strongly agree

1
","Strongly disagree

5
","Strongly agree

1
",Yes,0,25,0,30,A,Yes,Consider it a gift and not pay for the coupon.,B,0,25,0,30,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",B,Yes,Consider it a gift and not pay for the coupon.,5,More than ￥1020,Less than today,False,I do not know,Very serious,Male,32,￥22000 - ￥30000,17,China,Chinese,I allow you to use the responses I provided in this study.
2022-09-13 01:20:11,2022-09-13 01:20:33,Spam,3,21,False,2022-09-20 01:20:37,R_3PMsb4tsGOcMaqP,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:21:24,2022-09-13 01:21:41,IP Address,6,17,False,2022-09-20 01:21:44,R_pRyCVLAlEQRz6db,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:21:12,2022-09-13 01:22:10,IP Address,11,57,False,2022-09-20 01:22:10,R_2agndMDNLtBGvwG,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,B,No,,,,,,,,,,,,,,
2022-09-13 01:20:50,2022-09-13 01:22:41,IP Address,66,111,False,2022-09-20 01:22:43,R_3hbE4rju1wy4rAu,anonymous,ZH-S,I agree to participate in the research,A,6,6,8,8,5,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",Yes,5,6,1,4,A,Yes,Pay your friend ￥20 for the coupon.,A,6,6,7,7,Yes,"Strongly agree

1
",2,2,A,Yes,Pay your friend ￥20 for the coupon.,7,,,,,,,,,,,,
2022-09-13 01:22:17,2022-09-13 01:23:05,IP Address,9,47,False,2022-09-20 01:23:10,R_1LdilNwmItWDHqZ,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,No difference,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:21:08,2022-09-13 01:24:17,IP Address,20,188,False,2022-09-20 01:24:23,R_1E7jV9IlscdRMND,anonymous,ZH-S,I agree to participate in the research,B,0,50,0,80,30,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:23:01,2022-09-13 01:25:13,IP Address,17,131,False,2022-09-20 01:25:14,R_1FEQwMiyblWBuRn,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,B,Yes,Pay your friend ￥20 for the coupon.,8,,,,,,,,,,,,
2022-09-13 01:25:47,2022-09-13 01:26:02,Spam,3,14,False,2022-09-20 01:26:03,R_3NUsD2ZuBT5vR86,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:25:41,2022-09-13 01:26:32,Spam,6,50,False,2022-09-20 01:26:33,R_1H77WNcDcy4ultI,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:23:44,2022-09-13 01:27:01,IP Address,14,196,False,2022-09-20 01:27:06,R_xtQTNobFXv3GhoJ,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,B,Yes,Consider it a gift and not pay for the coupon.,,,,,,,,,,,,,
2022-09-13 01:27:50,2022-09-13 01:28:20,IP Address,9,29,False,2022-09-20 01:28:21,R_2WwEKTiE8i3o8Hy,anonymous,ZH-S,I agree to participate in the research,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:22:57,2022-09-13 01:28:45,IP Address,49,348,False,2022-09-20 01:28:51,R_3oZ1FyS3Os4IDIf,anonymous,ZH-S,I agree to participate in the research,A,,,,,,,,,,0,100,0,200,A,Yes,Consider it a gift and not pay for the coupon.,B,10,200,20,400,Yes,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No difference,Yes,Consider it a gift and not pay for the coupon.,10,,,,,,,,,,,,
2022-09-13 01:26:47,2022-09-13 01:28:47,IP Address,20,120,False,2022-09-20 01:28:51,R_2bPl5Rto5bABrCz,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,B,,,,,,,,,B,Yes,Consider it a gift and not pay for the coupon.,10,,,,,,,,,,,,
2022-09-13 01:24:30,2022-09-13 01:29:42,IP Address,31,312,False,2022-09-20 01:29:45,R_2YrhiOD0tU7oXDj,anonymous,ZH-S,I agree to participate in the research,"No difference ",0,20,0,30,50,"Strongly agree

1
","Strongly disagree

5
",4,Yes,10,20,20,30,No difference,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:29:22,2022-09-13 01:29:52,IP Address,9,30,False,2022-09-20 01:29:53,R_11aOoOp2AVESBFL,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,
2022-09-13 01:32:25,2022-09-13 01:33:32,IP Address,9,66,False,2022-09-20 01:33:36,R_2AMD3i5IBV2BttF,anonymous,ZH-S,I agree to participate in the research,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-13 01:19:28,2022-09-13 01:24:23,IP Address,40,295,False,2022-09-20 01:34:31,R_1MSQ4rhXOY55L5p,anonymous,ZH-S,I agree to participate in the research,,,,,,,,,,,10,10,20,25,A,No,Pay your friend ￥20 for the coupon.,B,15,20,20,20,No,4,2,2,B,Yes,,,,,,,,,,,,,,
2022-09-13 01:30:20,2022-09-13 01:35:09,IP Address,49,289,False,2022-09-20 01:35:10,R_3mlbMwfJctbfBzh,anonymous,ZH-S,I agree to participate in the research,A,0,10,0,20,30,"Strongly agree

1
","Strongly disagree

5
","Strongly disagree

5
",No,,,,,,,,B,20,30,20,30,Yes,4,4,3,B,Yes,Pay your friend ￥20 for the coupon.,10,,,,,,,,,,,,
2022-09-13 01:20:55,2022-09-13 01:25:52,IP Address,51,297,False,2022-09-20 01:36:11,R_1ooPzEL1zW52qm1,anonymous,ZH-S,I agree to participate in the research,"No difference ",20,50,30,50,10,"Strongly agree

1
",3,4,No,20,50,30,50,No difference,Yes,Consider it a gift and not pay for the coupon.,No difference,20,50,30,50,No,3,3,3,,,,,,,,,,,,,,,,
